    
Star Data Extractor Tool (Note: This program mocks format of AIP_4_WIN)
     Image: m23_3.5_001.fit
     Stars Found:  2510
     Radius of star diaphragm: 4 and 3
     Sky annulus inner radius: 7
     Sky annulus outer radius: 11
     Threshold factor:  0.000000
      X                Y           Sigma            FWHM         Sky ADU           Star ADU 4         Star ADU 3     
  746.09          459.26            0.00            0.00           739.2          1704400.3          1609167.0
  546.93          493.71            0.00            0.00           743.5           712093.6           678422.7
  462.51          522.94            0.00            0.00           744.5           685965.7           626615.3
  230.56          347.39            0.00            0.00           749.9           582994.0           522156.5
  112.28          420.20            0.00            0.00           751.1           578697.9           500331.6
  153.07          614.98            0.00            0.00           743.2           528045.3           463575.9
  957.66          389.45            0.00            0.00           730.8           522212.0           498038.3
  500.19          376.00            0.00            0.00           737.3           464674.9           441862.2
  550.23          571.69            0.00            0.00           739.4           437340.7           414736.4
  369.46          409.04            0.00            0.00           763.4           411340.3           382810.7
  579.80          819.26            0.00            0.00           735.2           382370.5           350836.6
  479.37          571.96            0.00            0.00           744.5           370062.4           351071.9
  336.42          573.76            0.00            0.00           743.7           350439.9           315109.8
  586.40           96.58            0.00            0.00           733.1           347919.7           317621.3
  365.79          362.11            0.00            0.00           756.7           342034.7           314419.0
  700.73          685.88            0.00            0.00           735.6           345216.9           328042.3
  579.95          561.09            0.00            0.00           734.8           338796.7           321853.3
  457.31          309.77            0.00            0.00           734.7           325591.7           302777.6
   82.81          774.67            0.00            0.00           743.1           322823.9           275967.7
 1003.39          330.15            0.00            0.00           734.5           328829.8           311991.6
  341.93          460.62            0.00            0.00           760.9           312578.8           285219.8
  757.39          281.74            0.00            0.00           732.7           314201.7           295516.2
  675.89          464.54            0.00            0.00           736.7           311141.2           293125.6
  447.67          738.51            0.00            0.00           737.3           282225.0           248553.4
  538.89          426.17            0.00            0.00           737.4           259129.2           248297.8
  359.44          497.78            0.00            0.00           760.9           215564.3           197923.2
  859.97          632.32            0.00            0.00           733.1           218684.2           209386.6
  495.89          628.81            0.00            0.00           737.8           209355.9           197620.4
  620.96          446.08            0.00            0.00           735.7           203677.7           195952.3
  922.64          603.09            0.00            0.00           732.4           204325.6           193842.9
  452.86          390.20            0.00            0.00           745.4           197468.1           185994.5
  202.03          648.08            0.00            0.00           740.4           198203.4           176547.7
  750.15          556.31            0.00            0.00           734.7           193982.6           186055.1
  413.12          887.67            0.00            0.00           740.2           195237.2           175560.2
  643.41          447.61            0.00            0.00           736.3           188229.6           177574.3
  257.07          476.75            0.00            0.00           758.9           182451.4           166843.9
  267.03          447.38            0.00            0.00           761.1           179363.4           163940.1
  266.33          447.09            0.00            0.00           761.1           179554.6           160919.6
  448.50          448.50            0.00            0.00           748.5           172897.9           162185.5
  813.21          680.71            0.00            0.00           735.5           172448.5           163418.8
  410.46          703.84            0.00            0.00           739.6           162683.3           149548.3
  380.33          369.93            0.00            0.00           756.7           160373.6           150551.6
  783.99          537.47            0.00            0.00           731.4           151857.3           146063.0
  484.96          477.43            0.00            0.00           748.5           147398.1           140051.2
  420.41          334.71            0.00            0.00           742.8           144922.3           134945.6
  438.63          422.61            0.00            0.00           757.6           136456.6           118380.3
  715.90          680.24            0.00            0.00           737.6           145616.7           138842.3
  695.54          175.48            0.00            0.00           731.1           137868.2           128034.7
